City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
261,Buraydah,SA,77.45,clear sky,26.33,43.98,فندق راحة السلام
263,Sotouboua,TG,76.19,few clouds,8.57,0.98,Auberge Médina
266,Kilindoni,TZ,78.69,broken clouds,-7.91,39.67,Bustani B&B
269,Banda Aceh,ID,78.28,overcast clouds,5.56,95.32,Sulthan Hotel International
277,Nyimba,ZM,78.49,clear sky,-14.56,30.81,Dali Dali Lodge
284,Bengkulu,ID,74.34,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
289,Cap Malheureux,MU,72.09,clear sky,-19.98,57.61,Pereybere Hotel & Spa
291,Gunjur,GM,78.87,broken clouds,13.2,-16.73,"Gunjur, dalabaa lodge"
294,Grand Gaube,MU,72.0,clear sky,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
296,Sinnamary,GF,77.52,overcast clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
300,Garowe,SO,72.39,broken clouds,8.41,48.48,Curubo Hotel
302,Saint-Pierre,RE,71.28,few clouds,-21.34,55.48,Lindsey Hôtel
306,Eyl,SO,77.34,broken clouds,7.98,49.82,DAAWAD HOTEL EYL
310,Souillac,MU,71.98,broken clouds,-20.52,57.52,Bils' Villa
311,Umm Lajj,SA,79.25,clear sky,25.02,37.27,Moon light Furnished Units
