City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
443,Oga,IT,46.46,10.35,34.68,60,73,1.79,broken clouds
444,Yining,CN,29.04,114.56,55.45,86,99,0.92,overcast clouds
445,Greenfield,US,42.96,-88.01,51.46,71,99,4.0,overcast clouds
446,Sarangani,PH,5.40,125.46,82.78,72,89,3.62,overcast clouds
447,Egvekinot,RU,66.32,-179.17,2.57,85,15,5.46,few clouds
448,Kruisfontein,ZA,-34.00,24.73,61.88,94,2,4.7,clear sky
449,Constitucion,CL,-35.33,-72.42,60.04,73,78,17.27,broken clouds
450,Sibolga,ID,1.74,98.78,75.4,88,100,1.88,overcast clouds
451,Shenjiamen,CN,29.96,122.30,64.49,65,70,3.83,broken clouds
452,Boyolangu,ID,-8.12,111.89,77.45,77,62,3.2,broken clouds
453,Ballina,AU,-28.87,153.57,73.44,83,40,11.5,scattered clouds
454,Savinskiy,RU,62.93,40.14,27.7,97,100,4.61,overcast clouds
455,Muncar,ID,-8.43,114.33,77.88,80,50,1.86,scattered clouds
456,Half Moon Bay,US,37.46,-122.43,66.42,70,1,1.99,haze
457,Quang Ngai,VN,15.12,108.80,73.38,93,100,8.01,overcast clouds
458,Inirida,CO,3.87,-67.92,75.07,98,100,2.01,overcast clouds
459,Tangier,MA,35.78,-5.81,67.35,64,0,17.27,clear sky
460,Husavik,IS,66.04,-17.34,28.31,79,73,6.08,broken clouds
461,Latung,PH,5.50,120.88,82.72,72,99,3.69,overcast clouds
462,Ambilobe,MG,-13.20,49.05,74.01,65,24,6.35,few clouds
463,Nanakuli,US,21.39,-158.15,87.75,49,75,12.66,broken clouds
464,Bintulu,MY,3.17,113.03,75.61,100,20,7.0,few clouds
465,Kinshasa,CD,-4.32,15.32,77.32,88,20,2.3,light rain
466,Ko Samui,TH,9.54,99.94,81.54,75,58,6.53,broken clouds
467,Yerbogachen,RU,61.28,108.01,31.57,98,100,7.25,snow
468,Tomislavgrad,BA,43.72,17.23,29.14,52,98,1.52,overcast clouds
469,Floro,NO,61.60,5.03,49.96,81,90,23.02,overcast clouds
470,Barcelona,ES,41.39,2.16,63.32,89,20,6.91,few clouds
471,Marawi,PH,8.00,124.29,66.65,86,84,1.19,broken clouds
472,Dharampuri,IN,22.17,75.35,74.21,57,22,1.34,few clouds
